brand,model,cc,segment,year,speedometer_type,top_speed_kmh,mileage_kmpl,fuel_tank_liters,factory_price_inr,gst_rate_pct,gst_amount_inr,ex_showroom_inr,on_road_price_inr,overall_score,price_increase_scenario_pct,buyer_behaviour,price_sensitivity,gst_impact_pct,price_difference,value_score
Honda,Hornet 2.0,184,mid,2020,Digital,137,43.8,10.1,100781,28.0,28219,129000,147604,70,9.3,Will likely switch brand,High,28.00031752016749,46823,0.020771794802308882
Bajaj,Pulsar N250,249,mid,2024,Digital,157,33.2,14.9,123438,28.0,34562,158000,185890,71,4.1,Might reconsider,Medium,27.99948152108751,62452,0.012680617569530369
Hero,Splendor Plus,97,budget,2020,Analog,95,64.2,8.7,60156,28.0,16844,77000,89751,57,2.3,Might reconsider,Medium,28.00053195026265,29595,0.040772804759835544
Royal Enfield,Thunderbird 350X,346,premium,2025,Semi-Digital,152,29.1,17.3,146875,28.0,41125,188000,221689,67,8.7,Will likely switch brand,High,28.000000000000004,74814,0.008794753009847129
Royal Enfield,Scram 411,411,premium,2023,Semi-Digital,165,23.4,14.9,166412,31.0,51588,218000,251257,73,13.1,Will definitely switch,Very High,31.000168257096846,84845,0.006798616555956649
Royal Enfield,Scram 411,411,premium,2021,Semi-Digital,201,24.3,16.7,154962,31.0,48038,203000,235810,71,9.5,Will likely switch brand,High,30.99985802971051,80848,0.007316483609685764
Tvs,Star City Plus,109,budget,2020,Semi-Digital,92,73.2,8.5,60938,28.0,17062,78000,93929,71,5.5,Will likely switch brand,High,27.998949752207164,32991,0.055331154382565556
Hero,Super Splendor,125,budget,2023,Semi-Digital,115,60.0,13.5,73438,28.0,20562,94000,110296,66,10.2,Will definitely switch,Very High,27.9991285165718,36858,0.03590338724885762
Yamaha,FZ-S V3,149,mid,2021,Semi-Digital,118,51.9,14.0,96094,28.0,26906,123000,143257,71,6.6,Will likely switch brand,High,27.999666992736277,47163,0.025722303273138486
Honda,CB350 H'ness,348,premium,2020,Digital,145,29.3,15.7,164062,28.0,45938,210000,236511,82,6.9,Will likely switch brand,High,28.00039009642696,72449,0.010158512711882322
Yamaha,FZ-X,149,mid,2022,Digital,108,57.4,13.1,106250,28.0,29750,136000,160631,79,13.4,Will definitely switch,Very High,28.000000000000004,54381,0.028229918259862662
Royal Enfield,Hunter 350,349,premium,2024,Semi-Digital,148,34.9,19.4,121094,28.0,33906,155000,181109,74,11.7,Will definitely switch,Very High,27.999735742481047,60015,0.014259920821162946
Tvs,Apache RR 310,312,premium,2024,Digital,157,34.0,15.3,230469,28.0,64531,295000,338145,77,13.9,Will definitely switch,Very High,27.999861152692983,107676,0.007742240754705821
Hero,Passion Pro,110,budget,2020,Semi-Digital,92,65.6,9.5,58594,28.0,16406,75000,89076,72,14.3,Will definitely switch,Very High,27.999453868996827,30482,0.05302438367236966
Hero,Xpulse 200 4V,199,mid,2024,Digital,137,41.8,11.7,130469,28.0,36531,167000,194051,70,4.7,Might reconsider,Medium,27.999754731008895,63582,0.015078510288532396
Bajaj,Pulsar N250,249,mid,2024,Digital,161,30.6,16.2,137500,28.0,38500,176000,208025,75,6.2,Will likely switch brand,High,28.000000000000004,70525,0.011032327845210911
Tvs,Star City Plus,109,budget,2020,Semi-Digital,85,71.5,8.5,60938,28.0,17062,78000,91495,62,10.9,Will definitely switch,Very High,27.998949752207164,30557,0.04845073501284223
Hero,Super Splendor,125,budget,2021,Semi-Digital,109,54.8,13.1,74219,28.0,20781,95000,110911,67,9.1,Will likely switch brand,High,27.999568843557583,36692,0.03310402034063348
Ktm,Duke 250,248,premium,2025,Digital,163,31.3,13.7,174219,28.0,48781,223000,254051,71,10.4,Will definitely switch,Very High,27.999816323133526,79832,0.00874745621942051
Ktm,Duke 200,199,mid,2022,Digital,134,38.9,11.9,161719,28.0,45281,207000,239635,70,6.9,Will likely switch brand,High,27.999802125909756,77916,0.011363114736995849
Hero,Mavrick 440,440,premium,2021,Digital,194,22.8,14.2,170229,31.0,52771,223000,259875,75,14.6,Will definitely switch,Very High,31.000005874439722,89646,0.00658008658008658
Yamaha,R15 V4,155,mid,2023,Digital,132,40.8,11.1,139844,28.0,39156,179000,210786,71,14.0,Will definitely switch,Very High,27.999771173593434,70942,0.013742848196749308
Suzuki,V-Strom SX,249,premium,2022,Digital,158,35.6,13.4,176562,28.0,49438,226000,259009,82,1.9,Likely to buy,Low,28.000362478902595,82447,0.011270650826805248
Yamaha,MT-15 V2,155,mid,2025,Digital,125,37.8,13.4,132812,28.0,37188,170000,199114,68,9.3,Will likely switch brand,High,28.000481884167094,66302,0.012909187701517721
Ktm,Duke 200,199,mid,2024,Digital,122,37.4,12.1,146875,28.0,41125,188000,220736,74,10.2,Will definitely switch,Very High,28.000000000000004,73861,0.012538054508553203
Tvs,Jupiter 110,109,budget,2020,Semi-Digital,94,63.8,8.0,59375,28.0,16625,76000,90521,68,5.4,Will likely switch brand,High,28.000000000000004,31146,0.047927000364556285
Honda,SP 125,124,budget,2023,Digital,112,60.0,13.3,71094,28.0,19906,91000,105698,76,5.0,Might reconsider,Medium,27.999549891692688,34604,0.043141781301443735
Tvs,Apache RR 310,312,premium,2020,Digital,157,33.3,19.6,222656,28.0,62344,285000,333364,73,14.0,Will definitely switch,Very High,28.000143719459615,110708,0.007292029133319733
Honda,CB350 H'ness,348,premium,2021,Digital,159,30.3,17.8,157812,28.0,44188,202000,237044,75,11.0,Will definitely switch,Very High,28.000405545839353,79232,0.009586827761934494
Tvs,Jupiter 110,109,budget,2022,Semi-Digital,98,63.2,9.5,62500,28.0,17500,80000,93265,65,1.6,Likely to buy,Low,28.000000000000004,30765,0.04404653406958666
Tvs,Jupiter 110,109,budget,2022,Semi-Digital,87,61.8,9.2,59375,28.0,16625,76000,91073,63,8.6,Will definitely switch,Very High,28.000000000000004,31698,0.042750321170928814
Honda,CB350RS,348,premium,2020,Digital,146,35.1,15.5,170312,28.0,47688,218000,246098,88,4.5,Might reconsider,Medium,28.000375780919722,75786,0.012551097530252176
Suzuki,V-Strom SX,249,premium,2021,Digital,147,35.3,19.2,182812,28.0,51188,234000,269081,76,14.7,Will definitely switch,Very High,28.000350086427588,86269,0.00997023201192206
Hero,Glamour,125,budget,2025,Semi-Digital,112,59.0,10.4,70312,28.0,19688,90000,108322,62,3.2,Might reconsider,Medium,28.00091022869496,38010,0.03376968667491368
Hero,Super Splendor,125,budget,2021,Semi-Digital,112,53.0,11.6,74219,28.0,20781,95000,111732,61,1.3,Likely to buy,Low,27.999568843557583,37513,0.02893530949056671
Tvs,Apache RTR 160,159,mid,2020,Semi-Digital,137,42.1,13.5,99219,28.0,27781,127000,151218,64,14.1,Will definitely switch,Very High,27.999677481127605,51999,0.017817984631459217
Tvs,Jupiter 110,109,budget,2024,Semi-Digital,96,71.6,8.2,59375,28.0,16625,76000,90134,66,7.1,Will definitely switch,Very High,28.000000000000004,30759,0.052428606297290695
Bajaj,Pulsar 150,149,mid,2025,Semi-Digital,111,57.5,13.7,85938,28.0,24062,110000,129427,67,7.0,Will likely switch brand,High,27.999255277060207,43489,0.029765813933723257
Royal Enfield,Meteor 350,349,premium,2022,Semi-Digital,153,30.5,16.9,167969,28.0,47031,215000,247669,71,6.6,Will likely switch brand,High,27.999809488655647,79700,0.008743524623590357
Bajaj,Pulsar 150,149,mid,2020,Semi-Digital,114,56.5,11.2,89062,28.0,24938,114000,135084,68,8.7,Will likely switch brand,High,28.000718600525477,46022,0.028441562287169465
Bajaj,Pulsar NS200,199,mid,2025,Digital,126,41.4,10.7,115625,28.0,32375,148000,173555,75,7.6,Will likely switch brand,High,28.000000000000004,57930,0.01789058223617873
Honda,CD 110 Dream,109,budget,2021,Analog,92,75.3,8.3,58594,28.0,16406,75000,88552,67,5.3,Will likely switch brand,High,27.999453868996827,29958,0.05697330382148342
Hero,Xtreme 125R,125,budget,2021,Digital,111,54.4,10.6,78906,28.0,22094,101000,118044,71,7.9,Will likely switch brand,High,28.000405545839353,39138,0.03272000271085358
Hero,Splendor Plus,97,budget,2020,Analog,99,65.3,8.9,61719,28.0,17281,79000,95549,56,8.8,Will definitely switch,Very High,27.99948152108751,33830,0.03827146280965787
Yamaha,FZ-X,149,mid,2021,Digital,118,56.5,13.0,108594,28.0,30406,139000,165250,77,7.2,Will likely switch brand,High,27.9997053244194,56656,0.0263267776096823
Yamaha,FZS 25,249,mid,2022,Digital,156,34.0,16.1,128125,28.0,35875,164000,192861,72,9.8,Will likely switch brand,High,28.000000000000004,64736,0.012693079471743899
Tvs,Apache RTR 160 4V,159,mid,2025,Digital,127,38.4,10.9,100781,28.0,28219,129000,149557,72,10.7,Will definitely switch,Very High,28.00031752016749,48776,0.018486597083386267
Ktm,Duke 390,373,premium,2020,Digital,184,23.8,19.0,232824,31.0,72176,305000,350553,80,14.2,Will definitely switch,Very High,31.000240525031785,117729,0.005431418358992792
Royal Enfield,Continental GT 650,648,premium,2024,Analog,186,23.9,18.6,258779,31.0,80221,339000,394695,71,11.5,Will definitely switch,Very High,30.999810649241244,135916,0.004299269055853253
Bajaj,Pulsar RS200,199,mid,2021,Digital,132,40.3,13.9,136719,28.0,38281,175000,201452,69,12.8,Will definitely switch,Very High,27.999765943285134,64733,0.013803288128189345
Suzuki,Gixxer SF,155,mid,2021,Semi-Digital,133,37.8,10.2,104688,28.0,29312,134000,154476,60,13.1,Will definitely switch,Very High,27.999388659636253,49788,0.01468189233278956
Royal Enfield,Continental GT 650,648,premium,2023,Analog,186,20.8,13.1,252672,31.0,78328,331000,379216,67,12.7,Will definitely switch,Very High,30.999873353596758,126544,0.0036749504240327414
Suzuki,Gixxer 250,249,mid,2021,Digital,160,34.2,14.4,134375,28.0,37625,172000,200522,63,11.6,Will definitely switch,Very High,28.000000000000004,66147,0.010744955665712493
Hero,Passion Pro,110,budget,2022,Semi-Digital,91,71.1,8.3,64062,28.0,17938,82000,95047,70,10.8,Will definitely switch,Very High,28.00099903218757,30985,0.05236356749818511
Honda,Hornet 2.0,184,mid,2023,Digital,129,37.2,11.6,114062,28.0,31938,146000,168295,78,10.5,Will definitely switch,Very High,28.00056109835002,54233,0.0172411539261416
Bajaj,Pulsar N160,160,mid,2020,Digital,129,44.0,13.2,94531,28.0,26469,121000,141588,77,9.4,Will likely switch brand,High,28.000338513291933,47057,0.02392858151820776
Hero,Xtreme 125R,125,budget,2020,Digital,105,56.9,11.7,79688,28.0,22312,102000,119796,71,12.5,Will definitely switch,Very High,27.99919686778436,40108,0.03372316270994023
Royal Enfield,Scram 411,411,premium,2024,Semi-Digital,193,20.3,18.4,167939,31.0,52061,220000,258388,80,4.8,Might reconsider,Medium,30.999946409112834,90449,0.0062851216000743065
